,Date,Date_x,Demand,Price,Time,Hour,Minute,Month,Quarter,Day,Location,Date_y,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa),9am wind speed (km/h) - 2
53,2022-12-24,2022-12-24 19:00:00,4792.81,194.52,2022-12-24 19:00:00,19,0,12,4,24,"Melbourne (Olympic Park), Victoria",2022-12-24,16.7,23.5,0.0,S,31.0,17:32,18.9,66,SW,9,1011.7,21.6,53.0,SSW,13.0,1010.8,9.0
54,2022-12-25,2022-12-25 19:00:00,5460.58,120.0,2022-12-25 19:00:00,19,0,12,4,25,"Melbourne (Olympic Park), Victoria",2022-12-25,12.9,31.9,0.0,SSW,24.0,12:58,19.5,66,ENE,7,1013.1,30.3,31.0,SW,11.0,1012.3,7.0
55,2022-12-26,2022-12-26 18:00:00,6164.92,120.0,2022-12-26 18:00:00,18,0,12,4,26,"Melbourne (Olympic Park), Victoria",2022-12-26,17.0,27.5,0.0,SSW,28.0,11:24,22.6,58,NNE,11,1016.6,23.6,67.0,S,13.0,1016.6,11.0
56,2022-12-27,2022-12-27 18:00:00,8148.52,120.0,2022-12-27 18:00:00,18,0,12,4,27,"Melbourne (Olympic Park), Victoria",2022-12-27,17.7,37.3,0.0,N,33.0,15:08,25.1,62,ENE,7,1018.1,36.5,26.0,N,15.0,1013.1,7.0
57,2022-12-28,2022-12-28 08:30:00,5446.07,-38.0,2022-12-28 08:30:00,8,30,12,4,28,"Melbourne (Olympic Park), Victoria",2022-12-28,25.0,27.6,0.0,N,46.0,5:03,27.6,42,W,9,1008.2,18.0,71.0,SW,13.0,1013.4,9.0
58,2022-12-29,2022-12-29 19:30:00,4622.73,92.55,2022-12-29 19:30:00,19,30,12,4,29,"Melbourne (Olympic Park), Victoria",2022-12-29,14.0,19.3,0.8,SSE,33.0,12:26,15.8,58,SSE,17,1019.0,18.4,55.0,S,13.0,1017.5,17.0
59,2022-12-30,2022-12-30 18:00:00,5435.76,128.67,2022-12-30 18:00:00,18,0,12,4,30,"Melbourne (Olympic Park), Victoria",2022-12-30,12.6,26.2,0.0,SSW,30.0,14:55,18.2,70,ENE,4,1015.9,25.0,52.0,SSW,11.0,1012.5,4.0
60,2022-12-31,2022-12-31 18:00:00,5893.55,125.37,2022-12-31 18:00:00,18,0,12,4,31,"Melbourne (Olympic Park), Victoria",2022-12-31,17.9,30.3,0.0,SSE,30.0,16:09,20.6,78,NNE,4,1014.3,27.4,54.0,SSW,11.0,1010.4,4.0
61,2023-01-01,2023-01-01 18:30:00,7505.95,158.98,2023-01-01 18:30:00,18,30,1,1,1,"Melbourne (Olympic Park), Victoria",2023-01-01,18.4,35.9,0.0,N,31.0,12:47,24.6,65,NNE,7,1010.8,35.3,34.0,NW,11.0,1007.4,7.0
62,2023-01-02,2023-01-02 16:30:00,5614.32,19.13,2023-01-02 16:30:00,16,30,1,1,2,"Melbourne (Olympic Park), Victoria",2023-01-02,22.1,32.0,6.4,N,52.0,8:16,28.6,47,N,22,1005.9,21.1,80.0,SSW,13.0,1006.6,22.0
63,2023-01-03,2023-01-03 19:30:00,4874.01,9.0,2023-01-03 19:30:00,19,30,1,1,3,"Melbourne (Olympic Park), Victoria",2023-01-03,15.2,21.1,0.2,S,37.0,18:34,17.4,68,SSE,11,1010.2,20.5,58.0,SSW,17.0,1008.9,11.0
64,2023-01-04,2023-01-04 19:30:00,4823.19,8.94,2023-01-04 19:30:00,19,30,1,1,4,"Melbourne (Olympic Park), Victoria",2023-01-04,15.0,18.7,0.0,SW,52.0,15:31,15.6,62,SSW,13,1010.7,16.0,76.0,SSW,22.0,1011.2,13.0
65,2023-01-05,2023-01-05 19:30:00,4707.9,19.13,2023-01-05 19:30:00,19,30,1,1,5,"Melbourne (Olympic Park), Victoria",2023-01-05,14.1,21.6,1.0,S,39.0,12:00,18.4,66,SE,13,1014.9,20.8,65.0,S,15.0,1014.3,13.0
66,2023-01-06,2023-01-06 19:30:00,4807.91,34.95,2023-01-06 19:30:00,19,30,1,1,6,"Melbourne (Olympic Park), Victoria",2023-01-06,13.3,25.6,0.0,ESE,37.0,9:05,18.4,65,ESE,15,1017.7,25.4,39.0,SE,17.0,1015.0,15.0
67,2023-01-07,2023-01-07 18:30:00,5607.49,118.74,2023-01-07 18:30:00,18,30,1,1,7,"Melbourne (Olympic Park), Victoria",2023-01-07,13.2,30.2,0.0,SSE,28.0,17:27,18.5,66,NE,9,1015.1,28.8,34.0,S,11.0,1011.4,9.0
68,2023-01-08,2023-01-08 19:00:00,6639.35,212.27,2023-01-08 19:00:00,19,0,1,1,8,"Melbourne (Olympic Park), Victoria",2023-01-08,14.9,31.9,0.0,SE,24.0,17:49,20.3,67,NE,4,1012.7,30.0,28.0,SSW,11.0,1010.7,4.0
69,2023-01-09,2023-01-09 18:00:00,5903.66,19.13,2023-01-09 18:00:00,18,0,1,1,9,"Melbourne (Olympic Park), Victoria",2023-01-09,18.4,26.2,0.0,SSW,37.0,17:41,24.3,46,S,6,1011.9,21.2,75.0,S,17.0,1013.3,6.0
70,2023-01-10,2023-01-10 18:30:00,5574.99,127.05,2023-01-10 18:30:00,18,30,1,1,10,"Melbourne (Olympic Park), Victoria",2023-01-10,16.9,21.6,0.0,SSW,35.0,15:49,17.4,66,SSE,9,1016.4,20.7,63.0,SSW,15.0,1013.8,9.0
71,2023-01-11,2023-01-11 18:30:00,7396.17,164.26,2023-01-11 18:30:00,18,30,1,1,11,"Melbourne (Olympic Park), Victoria",2023-01-11,15.9,29.9,0.0,SSW,28.0,14:03,20.4,71,NE,6,1011.4,27.9,49.0,SSW,13.0,1008.6,6.0
72,2023-01-12,2023-01-12 18:30:00,6526.04,132.76,2023-01-12 18:30:00,18,30,1,1,12,"Melbourne (Olympic Park), Victoria",2023-01-12,18.7,24.0,0.0,SSW,28.0,18:11,18.7,87,WSW,7,1014.0,22.9,73.0,SSW,13.0,1013.9,7.0
73,2023-01-13,2023-01-13 18:00:00,6518.54,135.06,2023-01-13 18:00:00,18,0,1,1,13,"Melbourne (Olympic Park), Victoria",2023-01-13,18.0,24.2,0.0,S,31.0,17:09,20.4,76,SSW,6,1017.1,23.3,70.0,SSW,15.0,1015.5,6.0
74,2023-01-14,2023-01-14 18:00:00,8043.4,156.11,2023-01-14 18:00:00,18,0,1,1,14,"Melbourne (Olympic Park), Victoria",2023-01-14,20.2,37.6,0.0,NNW,43.0,13:40,23.3,75,NE,6,1012.8,35.4,26.0,NNW,15.0,1007.4,6.0
75,2023-01-15,2023-01-15 00:00:00,5063.63,30.15,2023-01-15 00:00:00,0,0,1,1,15,"Melbourne (Olympic Park), Victoria",2023-01-15,18.0,20.6,0.0,SSW,35.0,7:23,18.4,72,S,13,1018.1,20.3,58.0,SSW,15.0,1019.7,13.0
76,2023-01-16,2023-01-16 18:30:00,6583.29,160.0,2023-01-16 18:30:00,18,30,1,1,16,"Melbourne (Olympic Park), Victoria",2023-01-16,15.1,27.0,0.0,SSW,24.0,16:28,16.4,72,NE,9,1019.5,25.2,50.0,SSW,15.0,1017.1,9.0
77,2023-01-17,2023-01-17 18:00:00,8850.61,160.77,2023-01-17 18:00:00,18,0,1,1,17,"Melbourne (Olympic Park), Victoria",2023-01-17,16.3,37.2,0.0,NW,48.0,18:41,26.3,54,N,20,1015.3,35.6,31.0,N,20.0,1009.8,20.0
78,2023-01-18,2023-01-18 08:00:00,5791.31,112.91,2023-01-18 08:00:00,8,0,1,1,18,"Melbourne (Olympic Park), Victoria",2023-01-18,19.8,19.9,6.0,S,41.0,18:43,19.9,94,SW,9,1010.9,16.7,85.0,S,15.0,1012.6,9.0
79,2023-01-19,2023-01-19 19:30:00,5073.16,24.44,2023-01-19 19:30:00,19,30,1,1,19,"Melbourne (Olympic Park), Victoria",2023-01-19,14.7,19.3,4.6,SSW,41.0,23:50,16.3,56,S,15,1016.8,17.5,53.0,S,17.0,1016.7,15.0
80,2023-01-20,2023-01-20 19:00:00,5062.77,81.73,2023-01-20 19:00:00,19,0,1,1,20,"Melbourne (Olympic Park), Victoria",2023-01-20,15.5,21.0,0.0,SSW,35.0,17:20,17.5,50,ESE,9,1017.8,20.3,49.0,SSW,13.0,1016.0,9.0
81,2023-01-21,2023-01-21 19:00:00,4852.88,35.33,2023-01-21 19:00:00,19,0,1,1,21,"Melbourne (Olympic Park), Victoria",2023-01-21,13.8,23.0,0.0,SSW,43.0,16:19,17.2,76,NW,2,1016.3,22.1,66.0,SSW,15.0,1014.2,2.0
82,2023-01-22,2023-01-22 20:00:00,5001.23,106.93,2023-01-22 20:00:00,20,0,1,1,22,"Melbourne (Olympic Park), Victoria",2023-01-22,17.2,23.4,0.0,SSW,35.0,14:17,20.0,72,SE,9,1017.1,22.6,70.0,SSW,20.0,1015.1,9.0
83,2023-01-23,2023-01-23 18:30:00,6285.41,169.9,2023-01-23 18:30:00,18,30,1,1,23,"Melbourne (Olympic Park), Victoria",2023-01-23,18.2,28.0,0.0,S,24.0,15:17,20.1,69,NW,7,1016.1,26.3,46.0,SSW,11.0,1012.7,7.0
84,2023-01-24,2023-01-24 16:30:00,5711.53,64.6,2023-01-24 16:30:00,16,30,1,1,24,"Melbourne (Olympic Park), Victoria",2023-01-24,17.6,28.6,0.0,SSW,41.0,14:42,20.4,66,NNE,7,1011.8,28.4,36.0,NW,9.0,1009.2,7.0
85,2023-01-25,2023-01-25 18:30:00,6535.89,31.84,2023-01-25 18:30:00,18,30,1,1,25,"Melbourne (Olympic Park), Victoria",2023-01-25,17.2,30.0,1.8,SSW,35.0,18:31,20.3,77,NNE,7,1012.1,27.6,50.0,SW,7.0,1009.2,7.0
86,2023-01-26,2022-12-16 06:00:00,4975.1,26.51,2022-12-16 06:00:00,6,0,12,4,16,"Melbourne (Olympic Park), Victoria",2023-01-26,15.9,21.6,0.0,SSW,35.0,13:40,18.4,69,SSW,9,1015.7,21.2,56.0,SSW,15.0,1016.2,9.0
86,2023-01-26,2023-01-26 18:30:00,4975.1,121.52,2023-01-26 18:30:00,18,30,1,1,26,"Melbourne (Olympic Park), Victoria",2023-01-26,15.9,21.6,0.0,SSW,35.0,13:40,18.4,69,SSW,9,1015.7,21.2,56.0,SSW,15.0,1016.2,9.0
87,2023-01-27,2023-01-27 18:30:00,6106.51,158.88,2023-01-27 18:30:00,18,30,1,1,27,"Melbourne (Olympic Park), Victoria",2023-01-27,13.5,26.8,0.0,S,24.0,16:49,17.1,59,E,9,1016.3,24.2,45.0,SSW,11.0,1012.9,9.0
88,2023-01-28,2023-01-28 16:30:00,6156.71,141.77,2023-01-28 16:30:00,16,30,1,1,28,"Melbourne (Olympic Park), Victoria",2023-01-28,15.2,34.2,0.0,N,43.0,8:57,25.5,32,N,11,1007.8,33.6,18.0,NW,11.0,1006.7,11.0
89,2023-01-29,2023-01-29 17:30:00,5123.59,129.02,2023-01-29 17:30:00,17,30,1,1,29,"Melbourne (Olympic Park), Victoria",2023-01-29,19.5,23.8,0.2,SSW,24.0,3:24,20.7,84, ,Calm,1012.7,22.1,77.0,SSW,11.0,1012.5,0.0
