Date,Total Demand,RRP,Hour,Minute,Month,Quarter,Day,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Speed of maximum wind gust (km/h),9am Temperature (°C),9am relative humidity (%),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm wind speed (km/h),3pm MSL pressure (hPa),9am wind speed (km/h) - 2
2023-02-09,6294.21,202.45,18,30,2,1,9,13.2,26.4,0.2,26.0,17.5,79.0,1010.9,25.1,56.0,13.0,1007.4,7.0
2023-02-10,6317.41,146.96,18,30,2,1,10,16.2,26.7,0.0,28.0,19.0,85.0,1007.3,24.3,61.0,15.0,1004.2,0.0
2023-02-11,5232.1,-3.55,18,0,2,1,11,15.8,25.7,0.0,41.0,20.2,79.0,1000.5,22.3,65.0,22.0,1001.9,0.0
2023-02-12,4720.67,108.99,19,30,2,1,12,17.3,20.7,0.0,46.0,18.6,65.0,1010.0,19.9,47.0,17.0,1012.3,9.0
2023-02-13,5189.6,96.49,19,0,2,1,13,15.8,20.9,0.0,37.0,17.1,55.0,1015.1,19.9,55.0,15.0,1014.3,13.0
2023-02-14,5241.34,144.28,18,30,2,1,14,12.0,22.2,0.0,37.0,17.1,67.0,1015.7,21.2,52.0,17.0,1013.8,9.0
2023-02-15,6967.6,301.98,18,0,2,1,15,12.6,32.4,0.0,31.0,17.2,71.0,1013.9,31.4,31.0,11.0,1011.1,7.0
2023-02-16,8476.51,649.73,16,30,2,1,16,17.1,37.2,0.0,33.0,23.1,55.0,1013.3,35.4,24.0,7.0,1010.3,9.0
2023-02-17,8343.03,149.36,15,0,2,1,17,22.8,40.5,0.0,46.0,29.9,33.0,1010.0,39.6,16.0,22.0,1005.9,19.0
2023-02-18,5285.38,165.08,18,30,2,1,18,17.4,24.9,0.0,31.0,18.1,68.0,1014.3,22.7,50.0,9.0,1015.2,9.0
2023-02-19,5892.43,179.5,18,0,2,1,19,14.9,27.9,0.0,30.0,19.3,71.0,1019.0,25.5,35.0,9.0,1017.5,4.0
2023-02-20,6210.87,179.5,18,0,2,1,20,14.9,24.0,0.0,30.0,18.6,83.0,1020.3,23.4,60.0,11.0,1020.7,0.0
2023-02-21,5395.37,79.73,7,0,2,1,21,17.7,22.2,0.0,39.0,18.3,70.0,1027.5,21.5,40.0,13.0,1027.8,13.0
2023-02-22,6547.87,182.38,18,0,2,1,22,14.6,30.6,0.0,33.0,17.6,67.0,1024.8,27.3,44.0,13.0,1021.2,0.0
2023-02-23,7426.8,163.06,18,0,2,1,23,17.5,32.4,0.0,44.0,21.6,45.0,1021.1,30.4,32.0,13.0,1018.7,22.0
2023-02-24,7483.36,168.25,18,0,2,1,24,19.6,32.3,0.0,46.0,23.1,48.0,1017.6,30.6,30.0,22.0,1014.1,19.0
2023-02-25,5261.85,94.87,17,30,2,1,25,22.2,26.7,0.0,28.0,25.0,37.0,1012.4,24.4,43.0,9.0,1012.1,17.0
